i: 34, x: 9, y: 6, has_ant: 1, has_item: 0, and_id: 34.
i: 35, x: 0, y: 3, has_ant: 1, has_item: 0, and_id: 35.
i: 36, x: 6, y: 2, has_ant: 1, has_item: 0, and_id: 36.
i: 37, x: 4, y: 6, has_ant: 1, has_item: 0, and_id: 37.
i: 38, x: 3, y: 2, has_ant: 1, has_item: 0, and_id: 38.
i: 39, x: 5, y: 8, has_ant: 1, has_item: 0, and_id: 39.
i: 40, x: 1, y: 2, has_ant: 1, has_item: 0, and_id: 40.
i: 41, x: 1, y: 6, has_ant: 1, has_item: 0, and_id: 41.
i: 42, x: 8, y: 4, has_ant: 1, has_item: 0, and_id: 42.
i: 43, x: 5, y: 7, has_ant: 1, has_item: 0, and_id: 43.
i: 44, x: 1, y: 7, has_ant: 1, has_item: 0, and_id: 44.
i: 45, x: 9, y: 7, has_ant: 1, has_item: 0, and_id: 45.
i: 46, x: 8, y: 3, has_ant: 1, has_item: 0, and_id: 46.
i: 47, x: 8, y: 2, has_ant: 1, has_item: 0, and_id: 47.
i: 48, x: 2, y: 2, has_ant: 1, has_item: 0, and_id: 48.
i: 49, x: 9, y: 9, has_ant: 1, has_item: 0, and_id: 49.
